ticker,quantity,avg_cost,opened_at,updated_at,last_trade_price,add_count,realized_pnl,status
CRDU,60.0,8.157,2026-03-09 23:01:33,2026-03-09 23:01:33,8.157,0,0.0,open
GXAI,300.0,1.72,2026-03-09 23:02:00,2026-03-09 23:02:00,1.72,0,0.0,open
PDYN,128.0,9.0,2026-03-09 23:02:23,2026-03-09 23:02:23,9.0,0,0.0,open
SBTU,89.0,5.09,2026-03-09 23:02:41,2026-03-09 23:02:41,5.09,0,0.0,open
